index,ingredients,output,changelog
2,"Organic Blue Corn, Organic Sunflower Oil, Sea Salt, Trace of Lime","organic blue corn, organic sunflower oil, sea salt, trace of lime",
3,"Unpeeled Potatoes, Sunflower Oil, Sea Salt","unpeeled potato, sunflower oil, sea salt",- unpeeled potatoes → unpeeled potato (singular)
4,"Gherkins (Cucumbers), Water, Vinegar, Salt, Onions,Mustgard Seeds, Tarragon, Garlic Pepper, Natural Flavor, Contains Sulfities","gherkin (cucumber), water, vinegar, salt, onion, mustard seed, tarragon, garlic pepper, natural flavor, contain sulfity","- gherkins → gherkin (singular)
- cucumbers → cucumber (singular)
- onions → onion (singular)
- mustgard seeds → mustgard seed (singular)
- mustgard seed → mustard seed (96%)
- contains sulfities → contain sulfity (singular)"
5,"Organic Tomatoes, Organic Tomato Juice From Concentrate (Water, Organic Tomato Concentrate), Sea Salt, Citric Acid, Calcium Chloride","organic tomato, organic tomato juice from concentrate (water, organic tomato concentrate), sea salt, citric acid, calcium chloride",- organic tomatoes → organic tomato (singular)
6,"Refined Olive Oil, Extra Virgin Olive Oil","refined olive oil, extra virgin olive oil",
7,Extra Virgin Olive Oil,extra virgin olive oil,
8,Extra Virgin Olive Oil,extra virgin olive oil,
9,"Water, Expeller Pressed Canola Oil, Cornstarch, Distilled Vinegar, Apple Cider Vinegar, Salt, Soy Protein Isolate, Xanthan Gum, Lemon Juice Concentrate, Onion Powder, Mixed Tocopherols (Vitamin E) and Rosemary Extract For Freshness, Mustard Oil, Oleoresin Paprika, Oleoresin Turmeric","water, expeller pressed canola oil, corn starch, distilled vinegar, apple cider vinegar, salt, soy protein isolate, xanthan gum, lemon juice concentrate, onion powder, mixed tocopherol (vitamin e), and rosemary extract for freshness, mustard oil, oleoresin paprika, oleoresin turmeric","- cornstarch → corn starch (95%)
- mixed tocopherols → mixed tocopherol (singular)"
10,"Dry Roasted Peanuts, Salt","dry roasted peanut, salt",- dry roasted peanuts → dry roasted peanut (singular)
11,"Monocalcium Phosphate, Sodium Bicarbonate, Cornstarch","monocalcium phosphate, sodium bicarbonate, corn starch",- cornstarch → corn starch (95%)
